Archivo,ROI,Media_basal,Std_basal,Umbral,N_eventos_pre_peak,Amplitud_promedio_eventos,Amplitud_maxima_eventos,Tipo,Observaciones
14DIV_GCamp-NLS-jRGECO1aASX51_w1Channel-B,dF_F0_ROI7,-9.024086106184404e-05,0.0010980201087457,0.0018861953346805,0.0,0.0,0.0,ROI sin eventos,sin eventos pre-peak detectados
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI1,0.0066752812546689,,,0.0,0.0,0.0,ROI dudosa,valores cercanos a cero o sin señal útil
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI2,0.0075391282293758,,,0.0,0.0,0.0,ROI dudosa,valores cercanos a cero o sin señal útil
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI3,0.0075212144391128,,,0.0,0.0,0.0,ROI dudosa,valores cercanos a cero o sin señal útil
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI4,0.0075147976384673,,,0.0,0.0,0.0,ROI dudosa,valores cercanos a cero o sin señal útil
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI5,-9.17234097567047e-06,0.0026279555470839,0.0047211476437753,1.0,0.0158882535789363,0.0158882535789363,ROI con alta actividad basal,actividad basal alta o amplitud elevada
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI6,0.0057693012754129,,,0.0,0.0,0.0,ROI dudosa,valores cercanos a cero o sin señal útil
Results_15DIV_double-sequential-ASX11_w1Channel-B,dF_F0_ROI7,-5.603544671956657e-06,0.0018893282648137,0.0033951873319927,1.0,0.0137036531841871,0.0137036531841871,ROI con alta actividad basal,actividad basal alta o amplitud elevada
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean1,0.001633229488414,0.0010039916266487,0.0034404144163817,0.0,0.0,0.0,ROI sin eventos,sin eventos pre-peak detectados
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean2,-7.690491302180157e-06,0.0025424060224767,0.0045686403491559,2.0,0.0065274539937313,0.0075600297554378,ROI válida,señal razonable y eventos detectables
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean3,0.0242431584873774,,,0.0,0.0,0.0,ROI dudosa,valores cercanos a cero o sin señal útil
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean4,0.0007291911238608,0.0017186290090723,0.0038227233401911,0.0,0.0,0.0,ROI sin eventos,sin eventos pre-peak detectados
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean5,-4.354118809848986e-06,0.004340020506467,0.0078076827928308,2.0,0.065783280400086,0.1232752749116827,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean6,2.513363546636395e-06,0.0055067349447053,0.0099146362640162,1.0,0.0109748180903672,0.0109748180903672,ROI con alta actividad basal,actividad basal alta o amplitud elevada
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean7,2.355715796463747e-06,0.0029348049298102,0.0052850045894549,1.0,0.0894332931171015,0.0894332931171015,ROI con alta actividad basal,actividad basal alta o amplitud elevada; amplitud máxima elevada
Results_15DIV_double-sequential-ASX21_w1Channel-B,dF_F0_Mean8,0.003085435930335,0.0092086659691615,0.0196610346748259,1.0,0.0195061344109479,0.0195061344109479,ROI con alta actividad basal,actividad basal alta o amplitud elevada
